Month,Department,Complaint Type,Location Type,Zipcode,Borough
January,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,11429,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11369,QUEENS
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11206,BROOKLYN
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11220,BROOKLYN
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10022,MANHATTAN
January,Department of Parks and Recreation,Overgrown Tree/Branches,Street,11414,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,10466,BRONX
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11235,BROOKLYN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,10468,BRONX
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,11372,QUEENS
January,New York City Police Department,Noise - Commercial,Store/Commercial,11103,QUEENS
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,11103,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11368,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11365,QUEENS
January,New York City Police Department,Noise - Commercial,Store/Commercial,11103,QUEENS
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10002,MANHATTAN
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11356,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11372,QUEENS
January,New York City Police Department,Noise - Commercial,Store/Commercial,11238,BROOKLYN
January,BCC - Brooklyn North,Sanitation Condition,Street,11213,BROOKLYN
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,11106,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11109,QUEENS
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11206,BROOKLYN
January,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,11222,BROOKLYN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11218,BROOKLYN
January,BCC - Staten Island,Snow,Street,10309,STATEN ISLAND
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10014,MANHATTAN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11419,QUEENS
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,11375,QUEENS
January,BCC - Brooklyn South,Other Enforcement,Sidewalk,11215,BROOKLYN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,10463,BRONX
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11421,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,10473,BRONX
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11208,BROOKLYN
January,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10456,BRONX
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11104,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11368,QUEENS
January,Manhattan 03,Snow,Street,10002,MANHATTAN
January,New York City Police Department,Derelict Vehicle,Street/Sidewalk,11235,BROOKLYN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11419,QUEENS
January,BCC - Queens East,Sanitation Condition,Street,11355,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11432,QUEENS
January,Department of Transportation,Street Condition,Street,10304,STATEN ISLAND
January,Manhattan 03,Snow,Street,10002,MANHATTAN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11226,BROOKLYN
January,Department of Transportation,Street Sign - Dangling,Street,11104,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11427,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11214,BROOKLYN
January,Department of Transportation,Street Sign - Damaged,Street,11203,BROOKLYN
January,A - Manhattan,Dirty Conditions,Sidewalk,10028,MANHATTAN
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11429,QUEENS
January,A - Queens,Dirty Conditions,Lot,11354,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11214,BROOKLYN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11423,QUEENS
January,Department of Transportation,Street Sign - Dangling,Street,11230,BROOKLYN
January,Taxi and Limousine Commission,Taxi Complaint,Street,10025,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,10022,MANHATTAN
January,A - Bronx,Dirty Conditions,Lot,10472,BRONX
January,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,11433,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11367,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10016,MANHATTAN
January,Manhattan 03,Snow,Street,10009,MANHATTAN
January,Department of Parks and Recreation,Damaged Tree,Street,11366,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10018,MANHATTAN
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,11423,QUEENS
January,New York City Police Department,Illegal Parking,Street/Sidewalk,11432,QUEENS
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,BCC - Staten Island,Snow,Street,10306,STATEN ISLAND
January,Manhattan 03,Sanitation Condition,Street,10002,MANHATTAN
January,Brooklyn South 10,Sanitation Condition,Street,11228,BROOKLYN
January,Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,11220,BROOKLYN
January,Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,11218,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10028,MANHATTAN
January,Manhattan 01,Missed Collection (All Materials),Sidewalk,10013,MANHATTAN
January,Taxi and Limousine Commission,Taxi Complaint,Street,11369,QUEENS
January,Manhattan 01,Missed Collection (All Materials),Sidewalk,10013,MANHATTAN
January,Department of Transportation,Street Sign - Dangling,Street,11413,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,11358,QUEENS
January,BCC - Queens East,Missed Collection (All Materials),Sidewalk,11365,QUEENS
January,BCC - Queens East,Snow,Street,11367,QUEENS
January,Department of Transportation,Street Condition,Street,11208,BROOKLYN
January,Department of Transportation,Street Condition,Street,11204,BROOKLYN
January,Department of Transportation,Street Condition,Street,11231,BROOKLYN
January,Department of Transportation,Street Condition,Street,10002,MANHATTAN
January,Department of Transportation,Street Condition,Street,10002,MANHATTAN
January,Department of Transportation,Broken Muni Meter,Street,11355,QUEENS
January,BCC - Staten Island,Snow,Street,10309,STATEN ISLAND
January,A - Queens,Dirty Conditions,Sidewalk,11106,QUEENS
January,BCC - Staten Island,Snow,Street,10301,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10003,MANHATTAN
January,Department of Transportation,Street Condition,Street,10309,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10014,MANHATTAN
January,Department of Transportation,Street Condition,Street,11415,QUEENS
January,Brooklyn South 10,Sanitation Condition,Sidewalk,11209,BROOKLYN
January,Department of Transportation,Broken Muni Meter,Street,10021,MANHATTAN
January,A - Queens,Dirty Conditions,Sidewalk,11105,QUEENS
January,BCC - Queens East,Snow,Street,11355,QUEENS
January,Department of Transportation,Street Condition,Street,11375,QUEENS
January,Department of Transportation,Sidewalk Condition,Sidewalk,10036,MANHATTAN
January,Department of Transportation,Street Condition,Street,10460,BRONX
January,Department of Transportation,Broken Muni Meter,Street,10002,MANHATTAN
January,Department of Transportation,Street Condition,Street,10459,BRONX
January,Department of Transportation,Highway Condition,Highway,11367,QUEENS
January,New York City Police Department,Blocked Driveway,Street/Sidewalk,10472,BRONX
January,A - Staten Island,Dirty Conditions,Lot,10302,STATEN ISLAND
January,Department of Transportation,Street Condition,Street,10310,STATEN ISLAND
January,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,11004,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10472,BRONX
January,Department of Transportation,Street Sign - Missing,Street,11217,BROOKLYN
January,BCC - Staten Island,Sanitation Condition,Street,10302,STATEN ISLAND
January,Department of Transportation,Broken Muni Meter,Street,10013,MANHATTAN
January,A - Queens,Dirty Conditions,Sidewalk,11385,QUEENS
January,Department of Transportation,Broken Muni Meter,Street,10007,MANHATTAN
January,BCC - Queens East,Sanitation Condition,Sidewalk,11366,QUEENS
January,New York City Police Department,Noise - Commercial,Store/Commercial,11206,BROOKLYN
January,BCC - Staten Island,Snow,Street,10301,STATEN ISLAND
January,New York City Police Department,Noise - Commercial,Store/Commercial,11206,BROOKLYN
January,BCC - Brooklyn South,Sanitation Condition,Street,11219,BROOKLYN
